	              {              	;              	#              	*              	Epsilon        	id             	void           	(              	)              	/              	int            	double         	,              	=              	}              	return         	while          	if             	else           	<              	<=             	>              	>=             	==             	!=             	+              	-              	num            	<Program>      	<GlobalDef>    	<GlobalDefList>	<Params>       	<FuncType>     	<Factor>       	<Block>        	<DefList>      	<Def>          	<StateList>    	<Item>         	<State>        	<Exp>          	<Assign>       	<Tmp3>         	<return>       	<while>        	<if>           	<relop>        	<AddSubExp>    	<Tmp4>         	<Tmp5>         	<call>         	<Args>         	
I0             	               	               	r2             	               	               	               	s1             	               	               	               	s2             	s3             	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	4              	5              	               	6              	               	               	               	7              	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I1             	               	               	               	               	               	r6             	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I2             	               	               	               	               	               	r5             	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I3             	               	               	               	               	               	r7             	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I4             	               	               	r2             	               	               	               	s1             	               	               	               	s2             	s3             	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	4              	10             	               	6              	               	               	               	7              	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I5             	               	               	acc            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I6             	               	               	               	               	               	s11            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I7             	               	s12            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I8             	               	r14            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I9             	               	r15            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
